sample_name_dbs,haplotype_number,haplotype_reads,haplotype_list
K02-060717-5,5,5837,"H5,H7,H9,H28,H58"
M12-121017-1,1,4749,H5
K02-051017-4,1,599,H11
M12-091117-1,2,2776,"H5,H19"
K02-060717-7,4,2625,"H2,H3,H16,H44"
K02-051017-5,3,2811,"H3,H5,H28"
K02-051017-7,3,6418,"H9,H50,H107"
M09-150318-2,1,10951,H48
M09-150318-3,1,9723,H48
M04-080218-3,1,5363,H4
S04-191017-2,1,464,H3
S04-170617-3-R,1,360,H2
M09-140618-3,2,3423,"H2,H46"
S04-240817-6,1,10573,H10
S04-240817-8,4,9193,"H2,H15,H32,H34"
S05-210617-5-R,4,7806,"H3,H5,H6,H18"
S04-290617-6-R,3,9453,"H2,H9,H47"
K03-220917-5-R,1,16997,H62
S05-210617-6-R,3,2613,"H4,H11,H18"
S04-290617-7-R,1,13661,H1
S04-191017-8,3,2444,"H2,H15,H34"
S05-310817-2-R,3,9714,"H1,H19,H33"
M16-070518-6-R,3,8980,"H3,H7,H36"
M05-140618-4,4,1909,"H16,H21,H30,H80"
K11-050718-4,4,9382,"H2,H6,H16,H31"
M05-060418-2-R,1,13369,H31
K05-050718-3,2,21401,"H4,H9"
K11-050718-5,3,3630,"H2,H6,H31"
K14-050718-1,2,833,"H2,H6"
M14-040618-4-R,3,10454,"H2,H16,H97"
K09-050718-1,4,3252,"H2,H6,H16,H31"
M14-270418-1-R,1,7804,H15
M05-140618-6,2,2992,"H23,H36"
M01-100718-7-R,1,1563,H19
K14-050718-5,1,4377,H6
M09-140518-2-R,1,16629,H6
K09-050718-2,2,17067,"H2,H6"
K13-050718-1,1,3403,H6
K05-050718-5,1,5865,H6
M05-260618-4-R,2,1684,"H16,H80"
K01-210817-5-R,3,7617,"H5,H15,H124"
S13-090418-1-R,1,7395,H12
S09-110418-6-R,2,9422,"H2,H20"
S01-170518-8,4,7037,"H2,H7,H16,H19"
S10-110418-3-R,2,5253,"H12,H24"
S01-170518-10,3,6285,"H2,H7,H16"
K01-080717-3-R,1,10905,H28
S10-110418-4-R,2,10213,"H12,H24"
K01-080717-5-R,3,7726,"H10,H16,H22"
K01-060717-7,3,7513,"H8,H12,H14"
S08-170518-8,1,14280,H50
S05-270618-3-R,1,3921,H3
K04-250618-3-R,1,5357,H2
K07-300418-8-R,1,14441,H2
K01-030817-8,3,6482,"H3,H13,H14"
S01-210618-5,2,4138,"H5,H22"
K10-120418-2-R,3,7005,"H2,H5,H33"
K09-160718-1-R,3,5641,"H2,H5,H33"
S01-210618-8,2,7639,"H6,H19"
K01-110717-9-R,3,4137,"H5,H9,H41"
S06-210618-6,1,6243,H6
K01-250718-4-R,3,6444,"H2,H5,H33"
S05-210618-5,4,10650,"H8,H21,H67,H75"
K01-030817-4,2,7543,"H10,H22"
K10-100418-4-R,3,8074,"H2,H5,H33"
K01-060717-3,2,13283,"H13,H28"
K12-230518-3-R,3,9189,"H2,H31,H183"
K01-250718-3-R,1,14882,H9
K01-060717-4,4,8811,"H10,H16,H22,H28"
K14-180618-4-R,6,4131,"H5,H13,H27,H41,H55,H101"
K05-100518-4-R,1,12007,H56
K02-050718-5,1,5619,H11
K02-070618-5,3,4603,"H4,H11,H28"
S04-190718-8,5,6215,"H2,H13,H15,H34,H81"
M16-030518-5-R,1,5430,H9
K02-040518-5,2,9947,"H49,H58"
K05-040518-4,1,9558,H56
K05-040518-5,3,5972,"H2,H6,H18"
S01-190718-10,1,9436,H66
K01-060717-8,5,6761,"H5,H7,H13,H16,H22"
K14-040518-4,7,4640,"H1,H6,H13,H38,H44,H53,H101"
S04-210618-7,2,7739,"H2,H39"
K10-040518-3,1,15173,H5
M06-080218-3,1,11537,H40
K02-010218-5,1,10614,H58
K05-010218-6,1,10980,H4
M05-150318-6,2,7841,"H6,H94"
K14-010218-4,3,11767,"H5,H35,H101"
M06-180118-2,1,16217,H7
K12-110118-3,1,9903,H6
M15-180118-2,2,10895,"H8,H11"
M09-180118-2,1,12952,H10
M09-180118-3,7,6861,"H2,H5,H8,H19,H25,H28,H46"
M09-180118-4,1,11718,H9
M16-180118-3,1,7444,H4
K01-030817-7,2,11244,"H7,H8"
S04-191017-1,1,16674,H1
K01-030817-3,3,7416,"H8,H22,H195"
K01 A00022,1,487,H145
K01 A00043,7,3025,"H1,H7,H8,H10,H18,H360,H370"
K01 H00023,2,1844,"H12,H19"
K01 A00016,4,1373,"H1,H10,H24,H259"
K01 A00021,4,8567,"H1,H45,H238,H256"
K01 A00023,1,454,H28
K02 A00025,3,909,"H7,H10,H20"
K01 A00028,5,1498,"H1,H5,H37,H121,H372"
K01 A00035,1,297,H2
K01 A00036,1,322,H5
K01 A00038,2,4803,"H7,H8"
K01 A00039,1,527,H10
K01 A00040,8,3384,"H7,H8,H12,H14,H49,H53,H327,H439"
K01 A00041,7,3854,"H1,H2,H3,H5,H7,H12,H13"
K01 H00016,2,882,"H13,H218"
K01 H00017,9,8546,"H3,H9,H11,H12,H22,H28,H30,H90,H400"
K01 H00019,1,1586,H19
K01 H00020,1,300,H20
K01 H00021,1,373,H36
K01 H00024,5,1758,"H1,H2,H3,H11,H19"
K01 H00025,1,624,H19
K01 H00028,3,795,"H4,H5,H454"
K01 H00040,1,962,H12
K01 H00041,7,6781,"H1,H7,H39,H187,H219,H221,H390"
K01 A00030,1,377,H1
K01 A00047,2,987,"H5,H15"
M09-130617-4,2,1935,"H6,H11"
M09-170817-5,2,8724,"H6,H25"
K01-021117-7,5,9719,"H5,H7,H8,H14,H25"
K01-070917-7,2,8262,"H7,H14"
M14-141217-4,2,6602,"H33,H35"
M14-130617-2,2,6232,"H2,H4"
M14-130617-5,2,8518,"H2,H13"
K14-071217-4,3,8708,"H16,H20,H27"
K14-170717-1A-R,3,6774,"H3,H5,H20"
K14-030817-4,7,7862,"H5,H6,H13,H15,H35,H38,H101"
K14-060717-4,3,5910,"H12,H13,H20"
K14-021117-4,4,7705,"H11,H13,H38,H101"
K14-120617-4,7,6090,"H3,H11,H13,H38,H49,H51,H55"
K05-060717-2,3,4532,"H2,H10,H32"
M13-130717-9,1,11020,H16
M01-121017-6,1,11931,H9
M15-121017-5,4,8284,"H5,H10,H24,H31"
M15-130717-5,7,5055,"H3,H15,H19,H25,H46,H51,H104"
M15-130617-5,2,4338,"H3,H13"
S02-140617-2,3,10017,"H3,H18,H46"
S02-140617-3,1,11209,H43
M09-141217-3,6,7159,"H2,H5,H10,H14,H25,H28"
M09-141217-4,2,14559,"H9,H20"
S06-191017-5,1,3606,H14
M06-141217-4,1,7249,H45
M09-140917-1,1,10127,H36
S09-140617-1,3,17573,"H3,H6,H9"
S09-140617-3,3,10857,"H5,H7,H10"
S09-140617-5,1,9968,H7
S09-140617-6,1,13110,H6
S06-240817-5,1,12284,H52
M16-141217-5,2,12452,"H6,H39"
K13-060418-5,1,18863,H1
K09-080318-7,1,13071,H1
S01-250118-5,2,10619,"H1,H7"
S01-250118-7,1,17290,H1
K02-080318-5,4,6568,"H1,H3,H5,H49"
S05-220318-8,1,15039,H1
S07-220318-6,1,8408,H1
K04-080318-4,1,10145,H1
S06-220318-2,1,13930,H1
S06-220318-3,1,11589,H42
K14-060418-4,5,10743,"H5,H13,H27,H38,H65"
S04-190418-8,1,12113,H2
M05-120418-6,4,6349,"H5,H18,H63,H94"
M12-120718-5,3,5175,"H2,H4,H9"
S05-200717-2,4,6604,"H2,H4,H22,H127"
S05-200717-4,4,9889,"H2,H4,H22,H127"
S05-200717-5,2,8876,"H30,H35"
S05-140617-7,2,12718,"H7,H69"
S05-140617-8,1,14585,H35
S10-140617-4,1,12695,H18
K13-120617-4,1,14380,H12
K02-021117-5,5,10028,"H4,H5,H9,H19,H58"
S04-140617-8,2,6961,"H2,H32"
K12-050718-2,1,7634,H9
S05-190718-5,2,9909,"H8,H21"
M14-170817-2,5,3168,"H1,H6,H20,H22,H48"
S09-200717-2,1,7279,H7
K09-051017-8,1,2776,H3
M14-121017-2,5,10434,"H18,H22,H30,H32,H43"
M14-091117-3,10,4092,"H1,H2,H3,H4,H5,H6,H9,H11,H13,H20"
K09-030817-9,2,572,"H15,H59"
K09-070917-8,15,13195,"H1,H5,H8,H9,H11,H12,H15,H19,H20,H23,H24,H41,H49,H66,H242"
K09-021017-2-R,4,3900,"H1,H9,H16,H17"
K09-120617-1,14,6275,"H1,H2,H3,H4,H6,H9,H11,H19,H20,H34,H41,H90,H106,H386"
K09-120617-4,2,2040,"H1,H57"
K05-051017-5,1,26676,H18
K05-051017-6,2,18964,"H8,H13"
K05-030817-2,4,3723,"H2,H13,H35,H52"
K05-120617-4,5,6933,"H1,H9,H10,H13,H15"
K05-060717-1,8,4047,"H1,H2,H3,H5,H6,H7,H9,H13"
K11-120617-2,7,8628,"H1,H2,H3,H5,H6,H8,H11"
K11-051017-2,9,4501,"H6,H13,H14,H27,H28,H42,H47,H58,H183"
M13-170817-9,6,13706,"H1,H4,H6,H8,H16,H30"
M13-170817-2,3,2579,"H4,H52,H423"
M13-140917-7,3,2871,"H1,H3,H5"
M13-140917-1,15,24851,"H1,H2,H4,H5,H6,H9,H12,H18,H35,H40,H50,H56,H70,H187,H272"
M13-091117-7,2,5439,"H43,H63"
M13-121017-6,5,26998,"H2,H8,H12,H16,H130"
M13-231017-1-R,15,8008,"H1,H2,H6,H7,H11,H12,H14,H15,H16,H20,H21,H22,H28,H38,H44"
M13-130717-2,3,1667,"H1,H6,H10"
M13-130717-4,14,7979,"H1,H2,H5,H7,H10,H12,H17,H20,H21,H26,H28,H32,H50,H66"
M05-140917-5,4,2066,"H1,H2,H11,H17"
M05-170817-3,8,12511,"H5,H6,H7,H8,H9,H13,H64,H250"
M05-121017-1,18,11928,"H1,H2,H6,H7,H8,H10,H13,H14,H15,H21,H24,H28,H34,H35,H49,H61,H379,H385"
M05-121017-5,2,14745,"H11,H17"
M05-130617-3,6,3175,"H1,H12,H22,H37,H42,H67"
M01-280617-3-R,5,4434,"H1,H2,H5,H8,H12"
M01-121017-3,1,4852,H1
M01-140917-1,2,807,"H1,H8"
M01-140917-3,15,5972,"H1,H2,H7,H9,H10,H11,H13,H16,H18,H22,H28,H39,H43,H45,H77"
M01-130717-3,13,9181,"H1,H2,H4,H5,H10,H12,H14,H19,H33,H36,H40,H42,H51"
M01-130717-4,14,7556,"H1,H2,H6,H9,H10,H15,H16,H18,H20,H21,H28,H33,H36,H64"
M01-130717-5,7,3216,"H1,H2,H3,H4,H5,H6,H10"
M01-130717-7,1,3130,H1
M01-130617-6,13,7534,"H1,H8,H9,H12,H15,H18,H22,H23,H24,H40,H46,H70,H384"
M01-170817-1,2,843,"H4,H28"
M01-170817-5,9,10702,"H1,H2,H3,H6,H8,H11,H39,H44,H48"
M01-170817-7,4,5282,"H1,H12,H18,H31"
M15-091117-3,4,4898,"H1,H2,H42,H55"
M15-091117-5,1,2083,H4
M15-091117-6,12,6524,"H1,H2,H3,H5,H6,H7,H9,H11,H12,H14,H15,H20"
M15-121017-6,12,9854,"H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H12,H18"
M15-140917-3,12,6750,"H1,H2,H4,H5,H6,H7,H8,H9,H10,H12,H13,H20"
M15-140917-4,5,4338,"H8,H12,H18,H45,H277"
S02-200717-2,3,11644,"H7,H16,H46"
S02-200717-3,1,1715,H1
S02-200717-5,9,16356,"H2,H3,H4,H9,H10,H11,H15,H19,H215"
S02-161117-1,1,856,H40
S02-161117-4,5,3309,"H8,H11,H20,H24,H25"
S02-161117-7,2,5170,"H6,H24"
S02-240817-2,2,2594,"H6,H22"
S02-240817-4,13,10361,"H1,H2,H3,H5,H6,H7,H8,H9,H11,H12,H13,H20,H25"
S02-210917-5,5,4572,"H1,H2,H12,H28,H38"
S03-111017-1-R,9,9934,"H1,H2,H3,H5,H6,H9,H10,H19,H22"
S03-111017-3-R,5,4593,"H3,H8,H10,H17,H97"
S03-200717-1,16,8815,"H1,H2,H3,H4,H6,H7,H8,H9,H10,H12,H13,H14,H15,H19,H20,H34"
S03-240817-3,1,1604,H13
S03-210917-2,10,3789,"H1,H4,H7,H11,H15,H18,H20,H35,H39,H447"
S09-191017-1,11,10575,"H1,H2,H3,H4,H5,H6,H7,H8,H9,H12,H13"
S09-111017-1-R,1,8718,H14
S09-120717-5-R,1,314,H2
M09-091117-2,11,13780,"H1,H2,H3,H4,H5,H6,H9,H12,H14,H24,H43"
M09-091117-4,8,4748,"H1,H2,H3,H4,H9,H12,H13,H36"
M09-170817-1,1,468,H1
M09-170817-4,5,1976,"H1,H2,H3,H4,H9"
S06-210917-1,15,12495,"H1,H2,H3,H4,H5,H6,H9,H10,H12,H14,H15,H20,H25,H28,H59"
M09-121017-2,7,6445,"H6,H7,H9,H13,H18,H40,H46"
M09-121017-4,16,12057,"H1,H2,H3,H4,H5,H6,H7,H9,H10,H12,H13,H14,H16,H18,H22,H28"
M09-121017-5,2,2565,"H8,H10"
M06-170817-1,1,292,H11
M06-140917-1,4,1880,"H1,H7,H32,H39"
M06-140917-2,2,18693,"H13,H32"
M06-130717-1,1,14935,H7
M06-130717-2,10,13945,"H1,H2,H3,H4,H5,H6,H9,H16,H18,H24"
M06-130717-3,6,3490,"H1,H2,H5,H8,H31,H50"
M06-130717-4,14,28193,"H1,H2,H3,H4,H6,H8,H9,H10,H11,H12,H13,H45,H47,H50"
M06-121017-2,11,4853,"H1,H2,H3,H4,H5,H6,H8,H9,H11,H13,H22"
M06-091117-2,3,9283,"H3,H10,H39"
S09-200717-1,13,9579,"H1,H2,H6,H8,H9,H10,H15,H19,H20,H53,H58,H66,H397"
S09-200717-6,8,4605,"H1,H2,H3,H6,H11,H16,H22,H43"
M16-091117-2,10,5627,"H1,H2,H3,H4,H6,H8,H10,H11,H20,H36"
M16-091117-3,14,8405,"H1,H2,H8,H10,H12,H16,H18,H19,H38,H39,H53,H70,H101,H199"
M16-121017-4,8,3697,"H1,H2,H22,H24,H28,H34,H40,H66"
M16-121017-5,9,6227,"H1,H4,H6,H7,H12,H15,H24,H33,H56"
S07-191017-1,15,8131,"H1,H5,H8,H9,H11,H12,H13,H15,H16,H20,H40,H46,H50,H58,H81"
S07-240817-6,8,4417,"H2,H4,H5,H9,H15,H166,H222,H421"
S07-210917-2,7,5682,"H1,H15,H20,H22,H25,H54,H83"
S07-210917-3,5,2906,"H1,H6,H11,H24,H38"
S07-210917-4,3,2309,"H6,H19,H149"
S07-161117-1,1,320,H43
M07-130617-2,4,4309,"H3,H5,H11,H28"
M07-130717-3,5,12931,"H1,H7,H10,H17,H203"
M07-091117-2,6,3103,"H4,H5,H7,H14,H35,H371"
S12-200717-3,1,1078,H53
S12-191017-3,3,4726,"H1,H2,H11"
S04-211217-1,3,2683,"H1,H5,H18"
S04-211217-2,6,2074,"H1,H4,H7,H22,H50,H413"
S04-211217-3,6,3072,"H1,H19,H20,H27,H48,H358"
S04-211217-7,5,8452,"H1,H2,H9,H11,H43"
S12-211217-2,9,4800,"H1,H2,H4,H6,H8,H12,H23,H31,H80"
S12-211217-3,5,2393,"H7,H21,H45,H78,H84"
S12-211217-4,9,10074,"H1,H2,H19,H20,H28,H35,H53,H56,H197"
S11-211217-1,3,4006,"H28,H251,H298"
S11-211217-9,2,5079,"H1,H123"
S09-250118-1,3,2264,"H1,H3,H5"
S09-250118-5,1,1875,H10
S09-250118-8,2,2705,"H32,H231"
S09-250118-9,3,3321,"H35,H45,H78"
S01-211217-4,5,3035,"H1,H6,H14,H43,H78"
S01-211217-5,4,2473,"H3,H12,H15,H45"
S10-211217-3,2,834,"H1,H2"
S10-211217-5,1,415,H2
S07-211217-4,1,435,H1
S07-211217-5,3,2938,"H1,H6,H64"
S07-211217-6,5,4342,"H1,H26,H38,H49,H59"
S02-211217-2,14,12110,"H1,H2,H3,H4,H8,H13,H16,H19,H24,H27,H36,H138,H306,H320"
S03-140218-1-R,5,5873,"H4,H9,H16,H23,H248"
S04-310118-5-R,4,17962,"H1,H4,H14,H23"
S10-190318-2-R,6,1984,"H1,H7,H23,H25,H34,H35"
S10-210318-1-R,11,10647,"H1,H2,H3,H5,H6,H9,H10,H16,H19,H20,H33"
S04-070318-7-R,12,11055,"H1,H2,H5,H6,H9,H10,H12,H20,H24,H54,H159,H329"
K04-090218-3-R,16,15433,"H1,H2,H4,H9,H10,H11,H13,H15,H20,H23,H28,H46,H136,H217,H352,H381"
K14-220118-1-R,7,28377,"H1,H3,H5,H6,H18,H34,H36"
K05-060418-1,14,17781,"H1,H2,H5,H6,H9,H11,H15,H16,H17,H20,H24,H26,H91,H361"
K05-060418-3,15,8395,"H1,H2,H4,H6,H9,H11,H16,H18,H19,H20,H21,H24,H25,H28,H36"
K05-060418-4,14,5220,"H1,H2,H5,H6,H7,H8,H9,H16,H22,H23,H25,H40,H45,H52"
K11-060418-3,15,11092,"H1,H2,H3,H5,H6,H8,H9,H18,H20,H22,H35,H43,H307,H324,H356"
K10-080318-1,3,22715,"H1,H2,H5"
K10-080318-5,14,16158,"H2,H3,H4,H5,H10,H15,H18,H20,H24,H28,H39,H288,H345,H377"
K10-060418-2,8,15404,"H2,H5,H7,H9,H10,H11,H30,H62"
K14-080318-1,8,11991,"H1,H7,H8,H11,H24,H34,H35,H45"
K13-080318-1,4,2643,"H20,H25,H36,H39"
K13-060418-1,2,1340,"H3,H6"
K13-060418-3,4,2526,"H1,H4,H34,H66"
K05-080318-3,4,1260,"H1,H10,H11,H43"
K01-060418-2,3,1856,"H1,H10,H23"
K01-060418-4,1,5547,H1
K01-060418-5,3,18181,"H1,H5,H79"
K01-080318-5,12,23810,"H1,H2,H3,H4,H6,H8,H9,H12,H13,H15,H22,H28"
K03-080318-4,1,13189,H1
K07-060418-9,9,6036,"H1,H2,H6,H10,H43,H48,H57,H124,H442"
K02-060418-3,3,6610,"H1,H3,H16"
S03-220318-2,1,1303,H35
S03-220318-3,10,10447,"H1,H2,H6,H8,H10,H22,H24,H31,H38,H56"
K01-041217-6-R,2,13780,"H1,H91"
S09-220318-3,4,4430,"H13,H14,H21,H25"
S09-220318-4,7,9409,"H1,H2,H10,H12,H14,H26,H31"
S09-220318-6,1,546,H4
S09-220318-7,1,5800,H1
S04-220318-3,3,1267,"H1,H2,H5"
S04-220318-7,5,11513,"H1,H2,H18,H65,H392"
S01-220318-2,9,13055,"H1,H4,H11,H26,H43,H44,H54,H148,H328"
S01-220318-8,4,3188,"H1,H7,H9,H14"
S11-220318-1,3,39282,"H1,H18,H51"
S10-220318-3,3,6614,"H3,H12,H13"
S10-220318-4,3,4354,"H1,H3,H53"
S05-220318-1,1,930,H7
S05-220318-3,1,3661,H4
K12-080318-1,1,11290,H1
S10-250118-3,1,685,H1
S02-250118-1,1,534,H1
S07-250118-1,3,6102,"H6,H19,H40"
S07-250118-2,5,3772,"H1,H10,H13,H29,H36"
S07-250118-3,13,6693,"H1,H4,H7,H13,H16,H22,H27,H30,H39,H47,H78,H200,H265"
K10-110118-1,4,1183,"H1,H4,H13,H28"
K10-110118-5,2,825,"H2,H9"
M01-051217-7-R,6,2053,"H1,H2,H3,H5,H7,H13"
M06-090118-1-R,2,962,"H13,H30"
M01-051217-8-R,6,4043,"H1,H6,H7,H11,H30,H43"
S09-190418-6,12,9160,"H1,H2,H5,H6,H8,H9,H12,H19,H24,H25,H31,H34"
S09-190418-3,1,344,H1
S01-190418-5,5,4794,"H7,H19,H30,H36,H96"
S07-190418-1,1,663,H30
S07-190418-3,2,2003,"H18,H30"
S07-190418-5,4,6010,"H1,H8,H16,H30"
S10-190418-2,2,1471,"H1,H30"
S10-190418-5,4,2877,"H1,H4,H6,H30"
S10-190418-6,5,3205,"H1,H4,H6,H20,H30"
S13-190418-2,1,894,H30
S05-190418-3,5,14479,"H1,H6,H8,H16,H30"
S11-190418-5,7,4518,"H1,H5,H6,H8,H22,H28,H30"
S03-190418-3,2,1141,"H7,H30"
M01-100518-6,8,5142,"H1,H2,H5,H6,H8,H28,H30,H52"
M01-100518-4,3,2397,"H1,H7,H16"
M05-100518-1,8,3973,"H1,H2,H4,H5,H6,H9,H18,H47"
M09-100518-1,9,4722,"H1,H2,H4,H6,H14,H19,H32,H33,H36"
M09-100518-5,1,345,H2
M16-100518-3,4,2403,"H1,H9,H19,H30"
M16-100518-1,3,1398,"H1,H2,H30"
M16-100518-6,2,1552,"H1,H4"
M14-120418-5,3,2408,"H1,H3,H30"
M13-120418-1,2,939,"H2,H5"
M14-100518-1,5,1587,"H1,H6,H13,H15,H60"
M13-100518-12,8,5876,"H1,H3,H4,H5,H28,H30,H51,H388"
M15-120418-1,2,1983,"H8,H30"
M15-120418-2,5,1918,"H1,H2,H6,H8,H18"
M07-100518-3,2,688,"H1,H30"
M01-120418-3,4,1781,"H1,H2,H6,H16"
M06-120418-2,10,5035,"H1,H2,H4,H5,H9,H13,H18,H25,H30,H42"
M09-120418-4,8,4516,"H1,H2,H4,H5,H6,H7,H8,H18"
M15-100518-2,4,2915,"H3,H9,H15,H371"
M05-120418-2,6,3316,"H1,H3,H8,H10,H11,H13"
M01-120418-4,3,1394,"H1,H2,H10"
M06-120418-3,13,9818,"H1,H2,H3,H6,H7,H9,H11,H12,H14,H18,H28,H43,H54"
M13-120418-11,6,9830,"H1,H2,H3,H4,H136,H159"
M15-100518-4,12,7468,"H1,H3,H4,H6,H7,H8,H14,H15,H18,H38,H40,H51"
M12-100518-2,7,2765,"H1,H7,H14,H18,H28,H35,H83"
M14-100518-6,2,4031,"H6,H11"
M13-100518-4,4,5313,"H3,H6,H7,H12"
M16-120418-2,2,1749,"H3,H38"
M06-120418-4,12,20019,"H1,H2,H6,H9,H13,H20,H24,H27,H36,H189,H196,H323"
M13-120418-13,2,26771,"H1,H14"
M04-120418-1,5,14841,"H1,H7,H16,H22,H28"
M01-120418-6,3,6388,"H2,H4,H49"
M06-120418-5,3,6548,"H10,H30,H116"
M12-120418-5,1,8570,H2
M14-120418-1,12,19715,"H1,H2,H3,H5,H6,H19,H39,H40,H46,H54,H60,H66"
M01-120718-7,4,28529,"H3,H19,H24,H115"
M01-120718-8,1,63662,H3
M15-120718-4,6,21144,"H1,H3,H11,H25,H52,H58"
M05-120718-1,7,20351,"H2,H3,H8,H13,H25,H30,H49"
M13-120718-5,4,10656,"H1,H3,H4,H30"
M09-120718-5,5,43202,"H2,H3,H5,H15,H45"
M05-120718-4,2,55106,"H1,H3"
M05-120718-5,5,15494,"H3,H10,H22,H52,H56"
S04-210917-2,1,3261,H21
S04-200717-6,1,6241,H30
S01-291117-1-R,2,11885,"H13,H55"
K07-071217-10,6,17128,"H3,H12,H16,H20,H170,H275"
S01-140617-1,2,61267,"H2,H68"
S01-191017-2,1,28785,H12
S01-140617-3,2,5576,"H21,H100"
S01-140617-4,3,48598,"H2,H19,H23"
S01-210917-5,2,28507,"H10,H14"
S10-210618-5,12,9139,"H1,H2,H3,H5,H9,H11,H12,H18,H21,H28,H41,H58"
K01-070718-5-R,16,34676,"H1,H2,H4,H5,H7,H9,H10,H11,H12,H13,H16,H27,H47,H119,H158,H172"
S01-210618-11,3,2939,"H1,H3,H20"
K14-110618-1-R,4,5557,"H5,H20,H33,H56"
K05-250718-1-R,12,8295,"H1,H2,H3,H6,H9,H16,H18,H21,H31,H34,H35,H42"
K13-160418-1-R,3,1103,"H1,H18,H47"
K09-070618-1,10,11096,"H1,H2,H3,H5,H6,H7,H12,H16,H24,H35"
K11-070618-5,9,13673,"H1,H2,H12,H15,H18,H22,H54,H66,H380"
S10-210618-6,10,10865,"H1,H5,H9,H20,H39,H42,H73,H135,H138,H362"
K09-180618-2-R,7,13496,"H1,H2,H5,H14,H15,H33,H338"
S05-210618-8,13,11726,"H1,H2,H3,H4,H5,H6,H8,H9,H10,H12,H13,H14,H28"
K11-140518-3-R,1,73238,H1
K05-230518-3-R,9,15546,"H1,H2,H3,H4,H5,H6,H13,H15,H20"
K09-090718-2-R,16,43984,"H1,H2,H4,H5,H8,H9,H12,H14,H32,H33,H35,H40,H48,H59,H145,H156"
K01-250718-6-R,11,21117,"H1,H2,H3,H4,H5,H6,H8,H9,H12,H13,H20"
K11-070618-7,12,15899,"H1,H3,H10,H12,H21,H22,H37,H41,H44,H73,H108,H267"
K10-280518-5-R,8,12325,"H1,H2,H4,H8,H20,H45,H47,H54"
K05-280618-1-R,6,21626,"H2,H4,H5,H7,H10,H13"
M14-160618-5-R,2,6754,"H1,H5"
K14-180618-5-R,4,33808,"H1,H2,H5,H18"
K10-120418-3-R,1,89550,H5
K07-290618-10-R,12,12320,"H1,H2,H3,H8,H9,H13,H15,H17,H19,H20,H36,H80"
K09-070618-2,10,13524,"H1,H2,H3,H7,H9,H10,H19,H35,H53,H309"
K09-070618-8,3,12082,"H4,H14,H117"
K12-110718-2-R,4,34737,"H1,H2,H4,H9"
K02-050718-4,18,42661,"H5,H6,H7,H11,H12,H13,H17,H20,H21,H28,H37,H45,H46,H70,H80,H82,H94,H201"
K02-070618-4,15,24087,"H1,H2,H4,H5,H7,H9,H11,H12,H15,H16,H19,H25,H34,H35,H79"
K14-070618-1,6,29599,"H1,H13,H15,H18,H21,H102"
K02-040518-4,9,16537,"H1,H2,H3,H6,H9,H10,H11,H14,H22"
S07-190718-3,14,20249,"H1,H3,H6,H8,H10,H11,H12,H13,H16,H20,H23,H49,H52,H221"
S01-190718-8,10,14492,"H1,H2,H3,H4,H6,H8,H14,H15,H24,H38"
K07-040518-8,8,25056,"H1,H2,H3,H5,H6,H10,H11,H28"
S13-190718-2,13,33931,"H1,H2,H3,H5,H6,H8,H9,H10,H14,H21,H26,H39,H53"
K05-070618-5,13,25668,"H1,H2,H4,H6,H7,H8,H10,H12,H13,H18,H23,H28,H66"
K05-070618-6,8,36358,"H1,H3,H4,H8,H9,H13,H20,H38"
K14-040518-1,12,10464,"H1,H2,H3,H4,H5,H6,H7,H9,H13,H14,H15,H34"
K03-040518-2,14,24703,"H1,H2,H3,H4,H5,H9,H12,H14,H20,H22,H31,H32,H51,H286"
S06-190718-1,2,12760,"H1,H83"
S04-210618-8,12,8201,"H1,H2,H3,H5,H6,H7,H8,H9,H10,H16,H34,H48"
K03-040518-4,1,2775,H9
S06-190718-2,7,37334,"H1,H5,H8,H18,H31,H45,H188"
K10-040518-5,3,19374,"H1,H10,H207"
K13-040518-3,4,11724,"H1,H3,H4,H151"
K01-030817-2-R,9,17563,"H1,H2,H5,H8,H15,H25,H46,H49,H147"
K01-030817-6,12,15867,"H1,H4,H5,H6,H8,H11,H13,H14,H15,H24,H81,H365"
K01-090817-1-R,9,19622,"H1,H2,H3,H4,H5,H6,H9,H10,H13"
K01-060717-2,1,2897,H2
K01-060717-6,13,18976,"H1,H2,H3,H5,H6,H7,H8,H9,H10,H12,H13,H14,H18"
K01-051017-7,3,23218,"H7,H23,H25"
M14-130617-6,3,4550,"H2,H20,H32"
K14-120617-1,15,12217,"H1,H2,H3,H5,H6,H7,H9,H10,H11,H16,H35,H44,H52,H54,H61"
K05-071217-5,5,1697,"H2,H3,H15,H18,H32"
K05-021117-3,10,3968,"H2,H4,H6,H18,H27,H49,H53,H249,H270,H417"
K05-021117-5,10,23340,"H1,H2,H5,H6,H7,H9,H18,H19,H20,H48"
K05-130717-6,3,40039,"H11,H14,H55"
K11-060717-1,7,14492,"H1,H3,H8,H11,H15,H31,H40"
K11-060717-2,14,31311,"H1,H2,H4,H5,H8,H9,H10,H13,H28,H38,H46,H53,H126,H261"
K11-021117-2,14,13676,"H1,H2,H5,H6,H8,H16,H21,H25,H30,H33,H52,H61,H62,H336"
M13-140917-14,14,14016,"H1,H2,H4,H5,H6,H7,H9,H10,H15,H16,H25,H32,H35,H83"
