sample_name_dbs,haplotype_number,haplotype_reads,haplotype_list
M01 A00031,4,30128,"H4,H8,H38,H89"
M06 A00008,1,556,H6
M06 A00040,2,8043,"H7,H21"
M09 H00071,4,10872,"H3,H4,H6,H29"
K14 A00043,1,4025,H4
M13 H00002,3,855,"H2,H3,H44"
M13 A00001,5,2159,"H1,H2,H4,H6,H37"
S04 A00020,2,10356,"H5,H8"
M07 H00125,3,1502,"H21,H29,H389"
M07 H00100,16,18987,"H1,H3,H4,H10,H12,H14,H21,H29,H34,H67,H79,H103,H171,H289,H318,H331"
S01 H00006,11,20863,"H4,H7,H8,H18,H21,H22,H44,H228,H284,H295,H296"
M06 A00024,13,20588,"H3,H10,H11,H13,H15,H22,H23,H33,H37,H65,H253,H257,H315"
M04 A00010,15,7642,"H2,H3,H4,H5,H6,H7,H8,H11,H12,H13,H16,H18,H25,H41,H44"
M06 H00008,4,5415,"H2,H3,H97,H350"
M06 H00041,3,11071,"H4,H26,H122"
M09 A00078,9,16649,"H3,H4,H7,H17,H19,H21,H25,H190,H302"
K14 A00038,6,10425,"H3,H4,H111,H173,H216,H353"
S08 A00002,12,4681,"H2,H3,H4,H5,H6,H11,H13,H21,H25,H30,H41,H44"
M15 A00050,11,5156,"H2,H3,H4,H5,H6,H7,H11,H12,H13,H16,H21"
S02 A00009,5,2332,"H2,H9,H14,H25,H153"
M07 A00140,4,19128,"H1,H4,H29,H95"
M07 H00137,13,23945,"H1,H3,H4,H8,H10,H19,H23,H82,H84,H189,H192,H244,H283"
M07 H00004,5,29799,"H3,H4,H11,H23,H39"
M06 A00023,14,30778,"H14,H15,H21,H23,H29,H33,H38,H76,H84,H166,H213,H214,H240,H258"
M04 A00014,5,21820,"H13,H19,H21,H33,H38"
K07 H00010,5,2479,"H5,H6,H8,H41,H69"
M06 A00041,3,1686,"H4,H143,H412"
M09 H00065,5,9527,"H4,H15,H41,H47,H162"
K14 A00037,13,30428,"H3,H4,H6,H7,H8,H10,H11,H21,H22,H29,H37,H84,H237"
M13 A00002,10,3634,"H2,H3,H4,H5,H6,H11,H13,H16,H23,H87"
M16 A00015,1,459,H4
M07 A00137,10,5047,"H2,H3,H4,H7,H10,H13,H21,H25,H26,H37"
M04 H00003,9,23349,"H3,H4,H5,H21,H114,H147,H202,H205,H279"
M09 A00030,3,1125,"H3,H16,H90"
M06 A00021,10,9546,"H4,H8,H10,H11,H12,H15,H21,H33,H38,H74"
K07 A00010,7,2751,"H3,H6,H13,H16,H35,H59,H72"
M09 H00044,17,22661,"H1,H3,H6,H7,H8,H18,H29,H37,H41,H47,H79,H85,H155,H191,H276,H304,H312"
M09 A00061,2,9607,"H7,H35"
M05 A00022,13,22518,"H1,H3,H4,H6,H7,H8,H21,H22,H23,H29,H37,H71,H84"
S01 H00007,7,2734,"H2,H3,H5,H6,H12,H13,H16"
M16 A00022,15,29787,"H2,H4,H6,H7,H9,H11,H18,H21,H29,H155,H167,H204,H210,H227,H232"
M07 A00120,10,11141,"H3,H4,H8,H21,H29,H41,H67,H171,H222,H282"
M04 H00004,12,12705,"H3,H4,H7,H8,H21,H22,H23,H59,H303,H316,H317,H357"
M06 A00045,3,2158,"H37,H65,H134"
M01 A00016,16,10778,"H1,H3,H4,H14,H18,H19,H21,H35,H47,H51,H59,H65,H191,H391,H399,H415"
M01 H00009,13,6915,"H1,H2,H3,H4,H8,H14,H15,H42,H143,H287,H363,H364,H426"
M09 H00079,5,13469,"H3,H7,H108,H142,H160"
M09 A00044,1,3528,H26
M07 H00131,11,32928,"H1,H3,H4,H8,H11,H21,H23,H29,H37,H45,H229"
M15 A00052,10,3848,"H3,H4,H6,H7,H9,H11,H12,H13,H16,H19"
M16 H00022,13,17512,"H1,H3,H4,H21,H22,H29,H55,H67,H120,H165,H198,H241,H299"
M15 H00013,1,349,H3
M07 A00126,9,9336,"H4,H10,H21,H22,H23,H29,H37,H223,H271"
K02 H00006,9,25957,"H1,H4,H5,H8,H21,H23,H67,H108,H230"
M09 H00024,8,3522,"H2,H3,H4,H6,H7,H12,H13,H44"
M01 A00027,13,10067,"H2,H3,H4,H5,H6,H7,H11,H12,H13,H16,H25,H41,H44"
M09 A00011,10,4801,"H2,H3,H4,H5,H6,H7,H8,H21,H22,H29"
M09 H00045,6,13212,"H4,H29,H86,H114,H208,H255"
M09 A00079,5,21328,"H3,H4,H29,H57,H99"
S11 H00002,2,623,"H6,H16"
M15 H00068,1,5839,H47
M09 A00065,13,7989,"H3,H4,H5,H8,H12,H15,H19,H21,H22,H23,H25,H29,H37"
K02 A00005,3,6477,"H3,H112,H212"
M01 H00026,12,17088,"H3,H6,H14,H23,H29,H37,H40,H92,H246,H252,H321,H346"
M01 A00014,8,9933,"H4,H15,H19,H33,H38,H51,H65,H76"
M09 A00045,17,34022,"H1,H3,H4,H7,H8,H15,H21,H22,H29,H34,H41,H44,H92,H161,H169,H176,H177"
M09 A00046,5,14068,"H4,H23,H29,H82,H378"
M15 H00052,7,2821,"H2,H3,H4,H5,H6,H13,H16"
K01 H00013,14,10963,"H1,H3,H4,H6,H22,H23,H24,H34,H37,H212,H332,H344,H366,H393"
